iter	RMSE
224	303371796.3
225	300555622.9
226	298054551.5
227	295629024.4
228	292954999.6
229	290762980.1
230	288449034.1
231	285681738.5
232	283178168.3
233	280516569.9
234	278301184.9
235	275903508.3
236	273464694.8
237	271087627.4
238	268829775.6
239	266753165.3
240	264662743.4
241	262700765.8
242	260684987.3
243	258791373.3
244	256422021.3
245	254672829.7
246	252866814.9
247	250807149.7
248	248433897.1
249	246676003.8
250	244954111.2
251	243197732.3
252	241476889.5
253	239521312.7
254	237827667.8
255	236293422.9
256	234544566.5
257	232961658.5
258	231276055.4
259	228811926
260	227045333.5
261	225526571.7
262	223620132.9
263	222196167.8
264	220801816.1
265	218005713
266	216709280.8
267	214843458.5
268	212964427.7
269	211766116.3
270	209970029.7
271	207175333
272	205621092.4
273	204488947.8
274	202423873.3
275	200790052.6
276	198791385.2
277	197193589.1
278	195297058.7
279	193757775.3
280	192725059.2
281	191248282.1
282	189779399.5
283	187684529.1
284	185698578.4
285	184814627.4
286	182781873.4
287	181914538.7
288	181052712.4
289	179517526.8
290	177755937.4
291	176065132.7
292	173940143.6
293	172755524.4
294	171297798.4
295	169296336.4
296	167837954
297	165923006.8
298	164623743.5
299	163075971.1
300	162154522.9
301	160560551.2
302	159560452.9
303	157734526.6
304	156882165.3
305	155217807.4
306	153936795.8
307	152393993.5
308	150667787.3
309	149581914.4
310	148640992
311	147324666.6
312	146231603.7
313	145084613.6
314	144006055.6
315	142893988.3
316	142025655.4
317	140863565
318	140285561.9
319	139199389.3
320	138108388.8
321	136966492.7
322	136217614.5
323	135400504.2
324	134510311.2
325	133473933.6
326	132539160
327	131732639.4
328	131220093.4
329	130721081.3
330	129623166.5
331	128183204.7
332	127451950.5
333	126375004.2
334	125876707.2
335	125421430.9
336	124296052.1
337	123209308.5
338	122762640.5
339	122296469.1
340	121316530.1
341	120884379.6
342	120431205
343	120013785.2
344	119057187.9
345	117723032
346	116456497.8
347	115659006.1
348	115257153.9
349	114451903.4
350	114116416.3
351	113721525.6
352	112580090.2
353	111862864.2
354	111078410.1
355	110189984.1
356	109823650.5
357	109021999.1
358	108572849.3
359	107910872.9
360	107277816
361	106680230.9
362	105933582.9
363	105171794.6
364	104470994
365	103737004
366	103230404.2
367	102473926.5
368	101765794.7
369	101287058.2
370	100839271.2
371	100344683.5
372	99588568.69
373	99081477.21
374	98775736.04
375	98079087.99
376	97408483.75
377	96727013.3
378	96384525.98
379	96100495.62
380	95543966.12
381	95022397.83
382	94692170.34
383	94156165.66
384	93561241.91
385	93300574.64
386	92454992.4
387	91808011.05
388	91355026.56
389	90922677.02
390	90220779.39
391	89801820.04
392	89563476.21
393	89103215.99
394	88312479.75
395	87865392.38
396	87323047.12
397	87127106.67
398	86423408.4
399	86143681.71
400	85620052.4
401	85335120.49
402	84626731.52
403	84122088.66
404	83658619.77
405	83454431.85
406	82858419.05
407	82294114.85
408	81753489.35
409	81431562.1
410	80891400.99
411	80419701.58
412	79911114.64
413	79546405.47
414	78984755.31
415	78590560.12
416	78169952.47
417	77740215.48
418	77154336.34
419	76832811.94
420	76345461.2
421	75977269.25
422	75515649.57
423	75223806.65
424	74816384.14
425	74469793.18
426	74264021.89
427	73913553.55
428	73646418.37
429	73341008.64
430	72924935.92
431	72744192.27
432	72362228.39
433	71978575.75
434	71687699.33
435	71303255.95
436	70963410.97
437	70662277.48
438	70310840.71
439	69916556.07
440	69658726.58
441	69282706.9
442	68998423.94
443	68723294.25
444	68538969.12
445	68346161.42
446	68091186.98
447	67680624.3
448	67368957.3
449	67146244.14
450	66823895.23
451	66528538.55
452	66260533.11
453	65909114
454	65639208.87
455	65392621.57
456	65096495.4
457	64885759.38
458	64577203.47
459	64417753.35
460	64132516.22
461	63710559.55
462	63486997.31
463	63276517.61
464	63041228.42
465	62894531.61
466	62616225.91
467	62503037.27
468	62091044.94
469	61819109.49
470	61625942.75
471	61428205.64
472	61216544.72
473	61049209.35
474	60850164.61
475	60499875.07
476	60197283.55
477	60000633
478	59896094.29
479	59550108.52
480	59223634.04
481	58969087.34
482	58867575.61
483	58579334.48
484	58364775.44
485	58103412.08
486	57810796.56
487	57704053.6
488	57421924.38
489	57114908.18
490	56946861.71
491	56631579.59
492	56360951.54
493	56114245.65
494	55949305.9
495	55790484.79
496	55561737.69
497	55213958.34
498	55017283.33
499	54760593.69
