model,MAE,MSE,RMSE,R2
Gradient Boosting,442337942.3125968,1.8069886220544128e+18,1344242769.0169706,0.9435859370597419
Random Forest,532725323.80952364,2.1395550859933844e+18,1462721807.451227,0.9332032344796106
Linear Regression,950210376.0478256,2.477943802726394e+18,1574148596.139003,0.922638761559828
XGBoost,615916872.2,3.3298800636084296e+18,1824795896.4247015,0.8960413689388135
CatBoost,686395253.6068894,3.5645778091808814e+18,1888008953.6813328,0.888714121147066
Decision Tree,721124728.5714285,5.681267718326072e+18,2383541004.1209846,0.8226312049061413
